upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
PI22,A,A99,A,ground,ground,2014-10-01 07:00:00+00:00,
PI23,A,A1,A,ground,ground,2014-10-01 07:00:00+00:00,
PI24,A,A47,A,ground,ground,2014-10-01 07:00:00+00:00,
PI25,A,A83,A,ground,ground,2014-10-01 07:00:00+00:00,
PI26,A,A37,A,ground,ground,2014-10-01 07:00:00+00:00,
PI27,A,A4,A,ground,ground,2014-10-01 07:00:00+00:00,
PI28,A,A90,A,ground,ground,2014-10-01 07:00:00+00:00,
PI29,A,A82,A,ground,ground,2014-10-01 07:00:00+00:00,
PI2,A,A63,A,ground,ground,2014-10-01 07:00:00+00:00,
PI30,A,A98,A,ground,ground,2014-10-01 07:00:00+00:00,
PI31,A,A74,A,ground,ground,2014-10-01 07:00:00+00:00,
PI32,A,A106,A,ground,ground,2014-10-01 07:00:00+00:00,
PI33,A,A116,A,ground,ground,2014-10-01 07:00:00+00:00,
PI34,A,A115,A,ground,ground,2014-10-01 07:00:00+00:00,
PI35,A,A114,A,ground,ground,2014-10-01 07:00:00+00:00,
PI36,A,A113,A,ground,ground,2014-10-01 07:00:00+00:00,
PI37,A,A126,A,ground,ground,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
PI38,A,A127,A,ground,ground,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
PI39,A,A41,A,ground,ground,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
PI3,A,A67,A,ground,ground,2014-10-01 07:00:00+00:00,
PI40,A,A16,A,ground,ground,2014-10-01 07:00:00+00:00,
PI41,A,A13,A,ground,ground,2014-10-01 07:00:00+00:00,
PI42,A,A46,A,ground,ground,2014-10-01 07:00:00+00:00,
PI43,A,A124,A,ground,ground,2014-10-01 07:00:00+00:00,
PI44,A,A123,A,ground,ground,2014-10-01 07:00:00+00:00,
PI45,A,A122,A,ground,ground,2014-10-01 07:00:00+00:00,
PI46,A,A57,A,ground,ground,2014-10-01 07:00:00+00:00,
PI47,A,A121,A,ground,ground,2014-10-01 07:00:00+00:00,
PI48,A,A120,A,ground,ground,2014-10-01 07:00:00+00:00,
PI49,A,A119,A,ground,ground,2014-10-01 07:00:00+00:00,
PI4,A,A58,A,ground,ground,2014-10-01 07:00:00+00:00,
PI50,A,A118,A,ground,ground,2014-10-01 07:00:00+00:00,
PI5,A,A3,A,ground,ground,2014-10-01 07:00:00+00:00,
PI6,A,A73,A,ground,ground,2014-10-01 07:00:00+00:00,
PI7,A,A66,A,ground,ground,2014-10-01 07:00:00+00:00,
PI8,A,A117,A,ground,ground,2014-10-01 07:00:00+00:00,
PI9,A,A49,A,ground,ground,2014-10-01 07:00:00+00:00,
PPA10,A,A28,A,ground,ground,2014-10-01 07:00:00+00:00,
PPA12,A,A34,A,ground,ground,2014-10-01 07:00:00+00:00,
PPA14,A,A51,A,ground,ground,2014-10-01 07:00:00+00:00,
PPA6,A,A19,A,ground,ground,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
